id,rtti_name,short_name,vtable_rva
372,PurgeBoardingOperationEvent,purgeboardingoperation,0x2b47418
373,PurgeBuildTaskEvent,purgebuildtask,0x2b47370
374,PurgeOperationEvent,purgeoperation,0x2b473e0
375,PurgeTradeEvent,purgetrade,0x2b473a8
376,RadarVisibilityChangedEvent,radarvisibilitychanged,0x2b46d50
377,RecyclableEjectedEvent,recyclableejected,0x2a86858
378,RecyclableNearFurnaceEvent,recyclablenearfurnace,0x2b41f70
379,RecyclableProcessedEvent,recyclableprocessedevent,0x2b41fe0
380,RecyclableProcessingStartedEvent,recyclableprocessingstartedevent,0x2b41f38
381,RegionAsteroidMinedEvent,regionasteroidmined,0x2b466f8
382,RelationChangedEvent,relationchanged,0x2b44d98
383,RelationRangeChangedEvent,relationrangechanged,0x2b44c48
384,RemoveCollisionFilterEvent,removecollisionfilter,0x2b43208
385,RemovedFromFormationEvent,removedfromformation,0x2ae59f0
386,RemoveRegionObjectsEvent,removeregionobjects,0x2b4b9c8
387,RemoveTempComponentEvent,removetempcomponent,0x2b3af18
388,RepairEvent,repair,0x2b46998
389,RepairRequestedEvent,repairrequested,0x2b435f8
390,ReplacePhysicsShapesEvent,replacephysicsshapes,0x2b42050
391,ResetDockStateEvent,resetdockstate,0x2a86900
392,ResetZoomGogglesEvent,resetzoomgoggles,0x2ae5750
393,ResourceAreaActivatedEvent,resourceareaactivated,0x2b422b8
394,ResourceAreaRespawnJobFinishedEvent,resourcearearespawnjobfinished,0x2b41e48
395,ResourceAreaSpawnedEvent,resourceareaspawned,0x2b42280
396,ResourceAreaDepletedEvent,resourceareadepleted,0x2b41e80
397,ResourceProbeLaunchedEvent,resourceprobelaunched,0x2b44a88
398,RestoreEvent,restore,0x2b47610
399,RestoredEvent,restored,0x2a86c48
400,ResumeEvent,resume,0x2b4bf08
401,RetrievedFromInternalStorageEvent,retrievedfrominternalstorage,0x2b460d8
402,ReturnUnitEvent,returnunit,0x2b43668
403,SalvageClaimLostEvent,salvageclaimlost,0x2b47060
404,SatelliteLaunchedEvent,satellitelaunched,0x2b44af8
405,ScanAbortedEvent,scanaborted,0x2b44430
406,ScanFinishedEvent,scanfinished,0x2b443f8
407,ScanStartedEvent,scanstarted,0x2b442e0
408,ScenarioConsoleLeftEvent,scenarioconsoleleft,0x2ae57c0
409,SectorAddedEvent,sectoradded,0x2b446d0
410,SectorChangedOwnerEvent,sectorchangedowner,0x2b45690
411,SectorChangedTrueOwnerEvent,sectorchangedtrueowner,0x2b45738
412,SectorRemovedEvent,sectorremoved,0x2b44698
413,SectorResourceDepletedEvent,sectorresourcedepleted,0x2b467a0
414,SensorTriggeredEvent,sensortriggered,0x2b3aee0
415,SetDetectedResourceAreaOverlapFractionEvent,setdetectedresourceareaoverlapfraction,0x2b41ef0
416,SetKnownToPlayerEvent,setknowntoplayer,0x2ae5a28
417,SetMinHullValueEvent,setminhullvalue,0x2b439b0
418,SetStoreShipAllowedEvent,setstoreshipallowed,0x2a86938
419,SetTerraformingPlanetTextureEvent,setterraformingplanettexture,0x2b42328
420,ShieldDamagedEvent,shielddamaged,0x2b453f0
421,ShieldRepairedEvent,shieldrepaired,0x2b45498
422,ShipBuiltEvent,shipbuilt,0x2b46bc8
423,ShootTargetRemovedEvent,shoottargetremoved,0x2b426a8
424,ShootTargetSetEvent,shoottargetset,0x2b427f8
425,SignalLeakRepairedEvent,signalleakrepaired,0x2b431d0
426,SignalLeaksCreatedEvent,signalleakscreated,0x2b43010
427,SignalNextEnvMapProbeRenderEvent,signalnextenvmapproberender,0x2b4b808
428,SignalUnlockFailedEvent,signalunlockfailed,0x2b43278
429,SignalUnlockFinishedEvent,signalunlockfinished,0x2b43320
430,SignalUnlockImpossibleEvent,signalunlockimpossible,0x2b432e8
431,SignalUnlockStartedEvent,signalunlockstarted,0x2b432b0
432,SpaceReservationExpiredEvent,spacereservationexpired,0x2b46570
433,SpawnSurfaceAttachmentEvent,spawnsurfaceattachment,0x2b42fd8
434,SpeakFinishedEvent,speakfinished,0x2b43c88
435,SpeakLineFinishedEvent,speaklinefinished,0x2b43b38
436,SpeakTimerTriggeredEvent,speaktimertriggered,0x2b43b70
437,StanceActivatedEvent,stanceactivated,0x2b42210
438,StartAmmunitionReloadEvent,startammunitionreload,0x2b26d70
439,StartBoostEvent,startboost,0x2b4c138
